"Rank","City","State","Credit Score"
"1","Littleton","Colorado","745"
"2","San Francisco","California","732"
"3","Seattle","Washington","722"
"4","Plano","Texas","720"
"5","Saint Paul","Minnesota","718"
"6","Honolulu","Hawaii","718"
"7","San Jose","California","715"
"8","Minneapolis","Minnesota","710"
"9","Portland","Oregon","710"
"10","Naples","Florida","708"
"11","Alexandria","Virginia","707"
"12","New York","New York","706"
"13","Spring","Texas","706"
"14","Staten Island","New York","702"
"15","Pittsburgh","Pennsylvania","699"
"16","Katy","Texas","699"
"17","Omaha","Nebraska","696"
"18","San Diego","California","696"
"19","Marietta","Georgia","693"
"20","Vancouver","Washington","689"
"21","Spokane","Washington","689"
"22","Raleigh","North Carolina","688"
"23","Colorado Springs","Colorado","687"
"24","Silver Spring","Maryland","687"
"25","Salt Lake City","Utah","686"
"26","Knoxville","Tennessee","686"
"27","Brooklyn","New York","684"
"28","Virginia Beach","Virginia","682"
"29","Oakland","California","682"
"30","Austin","Texas","682"
"31","Denver","Colorado","680"
"32","Grand Rapids","Michigan","677"
"33","Anaheim","California","677"
"34","Cincinnati","Ohio","677"
"35","Tucson","Arizona","676"
"36","Lexington","Kentucky","676"
"37","Washington","District of Columbia","674"
"38","Fort Wayne","Indiana","674"
"39","Albuquerque","New Mexico","673"
"40","Rochester","New York","673"
"41","Buffalo","New York","672"
"42","Aurora","Colorado","672"
"43","Tacoma","Washington","671"
"44","Dayton","Ohio","671"
"45","Pompano Beach","Florida","670"
"46","Mesa","Arizona","669"
"47","Santa Ana","California","669"
"48","Louisville","Kentucky","669"
"49","Wichita","Kansas","669"
"50","Nashville","Tennessee","668"
"51","Sacramento","California","668"
"52","Los Angeles","California","668"
"53","Saint Petersburg","Florida","667"
"54","Fort Lauderdale","Florida","667"
"55","Hollywood","Florida","666"
"56","Saint Louis","Missouri","666"
"57","Reno","Nevada","666"
"58","Riverside","California","665"
"59","Kansas City","Missouri","665"
"60","Long Beach","California","661"
"61","Miami","Florida","661"
"62","Charlotte","North Carolina","660"
"63","Hialeah","Florida","657"
"64","Chicago","Illinois","654"
"65","Columbus","Ohio","654"
"66","Atlanta","Georgia","654"
"67","Greensboro","North Carolina","651"
"68","Tampa","Florida","651"
"69","Baton Rouge","Louisiana","651"
"70","San Antonio","Texas","650"
"71","Birmingham","Alabama","650"
"72","Glendale","Arizona","650"
"73","El Paso","Texas","650"
"74","Tulsa","Oklahoma","649"
"75","West Palm Beach","Florida","647"
"76","Las Vegas","Nevada","647"
"77","Jacksonville","Florida","647"
"78","Stockton","California","646"
"79","Oklahoma City","Oklahoma","646"
"80","Phoenix","Arizona","646"
"81","Cleveland","Ohio","645"
"82","Arlington","Texas","644"
"83","Orlando","Florida","644"
"84","Columbia","South Carolina","643"
"85","Milwaukee","Wisconsin","643"
"86","Houston","Texas","642"
"87","Bakersfield","California","642"
"88","Fresno","California","641"
"89","Corpus Christi","Texas","640"
"90","New Orleans","Louisiana","640"
"91","Richmond","Virginia","640"
"92","Toledo","Ohio","638"
"93","Indianapolis","Indiana","637"
"94","Bronx","New York","636"
"95","Fort Worth","Texas","636"
"96","Dallas","Texas","633"
"97","Philadelphia","Pennsylvania","632"
"98","Baltimore","Maryland","621"
"99","Memphis","Tennessee","607"
"100","Detroit","Michigan","565"
"","","",""
