"Rank","City","State","Credit Score"
"1","The Villages","Florida","804"
"2","Sun City West","Arizona","789"
"3","Green Valley","Arizona","780"
"4","Saratoga","California","777"
"5","Los Altos","California","776"
"6","Needham","Massachusetts","774"
"7","Lexington","Massachusetts","773"
"8","Pittsford","New York","770"
"9","Princeton Junction","New Jersey","770"
"10","Potomac","Maryland","768"
"11","Mequon","Wisconsin","768"
"12","Chesterfield","Missouri","768"
"13","Cupertino","California","767"
"14","Brookfield","Wisconsin","767"
"15","Verona","Wisconsin","766"
"16","Westford","Massachusetts","766"
"17","Winchester","Massachusetts","766"
"18","Basking Ridge","New Jersey","766"
"19","Colleyville","Texas","766"
"20","Sun City Center","Florida","766"
"21","Mercer Island","Washington","766"
"22","Northbrook","Illinois","765"
"23","Wilmette","Illinois","765"
"24","Wexford","Pennsylvania","765"
"25","Sammamish","Washington","765"
"26","Chanhassen","Minnesota","765"
"27","Minnetonka","Minnesota","764"
"28","Scarsdale","New York","764"
"29","East Amherst","New York","764"
"30","San Carlos","California","764"
"31","Acton","Massachusetts","763"
"32","Maple Grove","Minnesota","763"
"33","Palos Verdes Peninsula","California","763"
"34","Westfield","New Jersey","763"
"35","Hudson","Ohio","763"
"36","Barrington","Illinois","762"
"37","Lafayette","California","762"
"38","Byron Center","Michigan","762"
"39","Deerfield","Illinois","762"
"40","La Canada Flintridge","California","762"
"41","New Berlin","Wisconsin","761"
"42","Southlake","Texas","761"
"43","Livingston","New Jersey","761"
"44","Muskego","Wisconsin","761"
"45","Belmont","Massachusetts","761"
"46","Lake Forest","Illinois","761"
"47","Arlington","Massachusetts","761"
"48","Lake Zurich","Illinois","761"
"49","Libertyville","Illinois","761"
"50","Danville","California","760"
"51","Estero","Florida","760"
"52","Menomonee Falls","Wisconsin","760"
"53","Evergreen","Colorado","760"
"54","Middleton","Wisconsin","760"
"55","Bainbridge Island","Washington","760"
"56","Highland Park","Illinois","760"
"57","Bethesda","Maryland","760"
"58","Zionsville","Indiana","760"
"59","Plainview","New York","760"
"60","Rancho Palos Verdes","California","759"
"61","Gibsonia","Pennsylvania","759"
"62","Hingham","Massachusetts","759"
"63","Vienna","Virginia","759"
"64","Powell","Ohio","759"
"65","Syosset","New York","759"
"66","Andover","Massachusetts","758"
"67","Garden City","New York","758"
"68","Los Gatos","California","758"
"69","Chevy Chase","Maryland","758"
"70","Penfield","New York","758"
"71","Reading","Massachusetts","758"
"72","Manhattan Beach","California","758"
"73","Brentwood","Tennessee","758"
"74","Lutherville Timonium","Maryland","758"
"75","Germantown","Tennessee","758"
"76","Louisville","Colorado","758"
"77","Mill Valley","California","758"
"78","Park Ridge","Illinois","757"
"79","Darien","Connecticut","757"
"80","Sewickley","Pennsylvania","757"
"81","Carmel","Indiana","757"
"82","Avon","Ohio","757"
"83","Chestnut Hill","Massachusetts","757"
"84","Huntley","Illinois","757"
"85","Wayne","Pennsylvania","757"
"86","Johnston","Iowa","757"
"87","Chagrin Falls","Ohio","756"
"88","Northville","Michigan","756"
"89","Burlingame","California","756"
"90","Bridgewater","New Jersey","756"
"91","Newtown","Pennsylvania","756"
"92","Bedford","New Hampshire","756"
"93","Belmont","California","756"
"94","Monument","Colorado","756"
"95","Glenview","Illinois","756"
"96","Geneva","Illinois","756"
"97","Ridgewood","New Jersey","756"
"98","Pewaukee","Wisconsin","756"
"99","Pacific Palisades","California","756"
"100","Monroe Township","New Jersey","756"
"101","Franklin","Wisconsin","756"
"102","Little Neck","New York","755"
"103","Fairport","New York","755"
"104","Bloomfield Hills","Michigan","755"
"105","Westport","Connecticut","755"
"106","Mc Lean","Virginia","755"
"107","Allison Park","Pennsylvania","755"
"108","Great Neck","New York","755"
"109","Eden Prairie","Minnesota","755"
"110","Redmond","Washington","755"
"111","Morganville","New Jersey","755"
"112","Pleasanton","California","754"
"113","Granite Bay","California","754"
"114","Buffalo Grove","Illinois","754"
"115","Hudsonville","Michigan","754"
"116","Cranberry Township","Pennsylvania","754"
"117","San Ramon","California","754"
"118","Glastonbury","Connecticut","754"
"119","Independence","Ohio","754"
"120","Saline","Michigan","754"
"121","New Hyde Park","New York","754"
"122","Erie","Colorado","754"
"123","Ridgefield","Connecticut","753"
"124","Stillwater","Minnesota","753"
"125","Hartland","Wisconsin","753"
"126","Solon","Ohio","753"
"127","Collegeville","Pennsylvania","753"
"128","Ellicott City","Maryland","753"
"129","Lady Lake","Florida","753"
"130","Issaquah","Washington","753"
"131","Natick","Massachusetts","753"
"132","Cheshire","Connecticut","753"
"133","Millbrae","California","753"
"134","Northport","New York","753"
"135","Menlo Park","California","752"
"136","Paramus","New Jersey","752"
"137","Guilford","Connecticut","752"
"138","Lemont","Illinois","752"
"139","Chelmsford","Massachusetts","752"
"140","Darien","Illinois","752"
"141","Woodinville","Washington","752"
"142","Elmhurst","Illinois","752"
"143","Ambler","Pennsylvania","752"
"144","Mahwah","New Jersey","752"
"145","Lake Oswego","Oregon","752"
"146","Homer Glen","Illinois","752"
"147","Merrick","New York","752"
"148","Massapequa Park","New York","752"
"149","Cranford","New Jersey","751"
"150","Melville","New York","751"
"151","Brookline","Massachusetts","751"
"152","Mountain View","California","751"
"153","Malvern","Pennsylvania","751"
"154","Harleysville","Pennsylvania","751"
"155","New Albany","Ohio","751"
"156","Huntingdon Valley","Pennsylvania","751"
"157","Granger","Indiana","751"
"158","Fountain Hills","Arizona","751"
"159","Lewes","Delaware","751"
