"Rank","City","State","Credit Score"
"1","Camden","New Jersey","547"
"2","Pinon","Arizona","549"
"3","Chester","Pennsylvania","552"
"4","Highland Park","Michigan","552"
"5","Riverdale","Illinois","558"
"6","Inkster","Michigan","563"
"7","East Orange","New Jersey","564"
"8","Detroit","Michigan","565"
"9","Irvington","New Jersey","566"
"10","Harvey","Illinois","566"
"11","Hartford","Connecticut","573"
"12","Darby","Pennsylvania","573"
"13","Pontiac","Michigan","573"
"14","Brooklyn","Maryland","576"
"15","Gary","Indiana","576"
"16","Orange","New Jersey","577"
"17","Belle Glade","Florida","577"
"18","New Brunswick","New Jersey","578"
"19","Union City","Georgia","578"
"20","Riverdale","Georgia","581"
"21","Forest Park","Georgia","583"
"22","Suitland","Maryland","583"
"23","Adelanto","California","585"
"24","District Heights","Maryland","586"
"25","Dolton","Illinois","586"
"26","Elizabethport","New Jersey","587"
"27","Lancaster","Texas","587"
"28","Newark","New Jersey","588"
"29","East Chicago","Indiana","588"
"30","Maywood","Illinois","590"
"31","Lithonia","Georgia","590"
"32","Atlantic City","New Jersey","590"
"33","Oxon Hill","Maryland","591"
"34","Mattapan","Massachusetts","591"
"35","Capitol Heights","Maryland","591"
"36","Roxbury","Massachusetts","592"
"37","Benton Harbor","Michigan","593"
"38","Albany","Georgia","596"
"39","Greenville","Mississippi","598"
"40","Quincy","Florida","599"
"41","Immokalee","Florida","599"
"42","Jackson","Mississippi","599"
"43","Flint","Michigan","599"
"44","Mercedes","Texas","601"
"45","Paterson","New Jersey","601"
"46","Miami Gardens","Florida","602"
"47","Clarksdale","Mississippi","602"
"48","Jonesboro","Georgia","602"
"49","Selma","Alabama","602"
"50","Calumet City","Illinois","603"
"51","Blytheville","Arkansas","603"
"52","Greenwood","Mississippi","604"
"53","Austell","Georgia","604"
"54","Dorchester Center","Massachusetts","605"
"55","Yazoo City","Mississippi","605"
"56","Donna","Texas","606"
"57","Alice","Texas","606"
"58","Gwynn Oak","Maryland","607"
"59","Horn Lake","Mississippi","607"
"60","Perth Amboy","New Jersey","607"
"61","Del Valle","Texas","607"
"62","Opelousas","Louisiana","607"
"63","Memphis","Tennessee","607"
"64","Cordele","Georgia","608"
"65","Norcross","Georgia","608"
"66","Americus","Georgia","609"
"67","Hamtramck","Michigan","609"
"68","North Charleston","South Carolina","609"
"69","Plainfield","New Jersey","609"
"70","San Bernardino","California","610"
"71","Temple Hills","Maryland","610"
"72","Corcoran","California","610"
"73","Lawrence","Massachusetts","611"
"74","Fairburn","Georgia","611"
"75","Petersburg","Virginia","611"
"76","Edgewood","Maryland","612"
"77","Ellenwood","Georgia","612"
"78","Beeville","Texas","612"
"79","Maple Heights","Ohio","612"
"80","Newberry","South Carolina","612"
"81","Orangeburg","South Carolina","612"
"82","Madison","Tennessee","614"
"83","Waterbury","Connecticut","614"
"84","Stone Mountain","Georgia","614"
"85","Hephzibah","Georgia","615"
"86","Morrow","Georgia","615"
"87","Laurens","South Carolina","615"
"88","Windsor Mill","Maryland","615"
"89","Barstow","California","615"
"90","Opa Locka","Florida","615"
"91","Springfield","Massachusetts","615"
"92","San Benito","Texas","616"
"93","Monroe","Louisiana","617"
"94","Eastpointe","Michigan","617"
"95","Dorchester","Massachusetts","617"
"96","Darlington","South Carolina","617"
"97","Edinburg","Texas","617"
"98","Chicago Heights","Illinois","617"
"99","Pharr","Texas","618"
"100","Alamo","Texas","619"
"101","Sun Valley","Nevada","619"
"102","Channelview","Texas","619"
"103","Brownsville","Texas","619"
"104","Fresno","Texas","619"
