City,State,Credit Score
Camden,New Jersey,547.0
Pinon,Arizona,549.0
Chester,Pennsylvania,552.0
Highland Park,Michigan,552.0
Riverdale,Illinois,558.0
Inkster,Michigan,563.0
East Orange,New Jersey,564.0
Detroit,Michigan,565.0
Irvington,New Jersey,566.0
Harvey,Illinois,566.0
Hartford,Connecticut,573.0
Darby,Pennsylvania,573.0
Pontiac,Michigan,573.0
Brooklyn,Maryland,576.0
Gary,Indiana,576.0
Orange,New Jersey,577.0
Belle Glade,Florida,577.0
New Brunswick,New Jersey,578.0
Union City,Georgia,578.0
Riverdale,Georgia,581.0
Forest Park,Georgia,583.0
Suitland,Maryland,583.0
Adelanto,California,585.0
District Heights,Maryland,586.0
Dolton,Illinois,586.0
Elizabethport,New Jersey,587.0
Lancaster,Texas,587.0
Newark,New Jersey,588.0
East Chicago,Indiana,588.0
Maywood,Illinois,590.0
Lithonia,Georgia,590.0
Atlantic City,New Jersey,590.0
Oxon Hill,Maryland,591.0
Mattapan,Massachusetts,591.0
Capitol Heights,Maryland,591.0
Roxbury,Massachusetts,592.0
Benton Harbor,Michigan,593.0
Albany,Georgia,596.0
Greenville,Mississippi,598.0
Quincy,Florida,599.0
Immokalee,Florida,599.0
Jackson,Mississippi,599.0
Flint,Michigan,599.0
Mercedes,Texas,601.0
Paterson,New Jersey,601.0
Miami Gardens,Florida,602.0
Clarksdale,Mississippi,602.0
Jonesboro,Georgia,602.0
Selma,Alabama,602.0
Calumet City,Illinois,603.0
Blytheville,Arkansas,603.0
Greenwood,Mississippi,604.0
Austell,Georgia,604.0
Dorchester Center,Massachusetts,605.0
Yazoo City,Mississippi,605.0
Donna,Texas,606.0
Alice,Texas,606.0
Gwynn Oak,Maryland,607.0
Horn Lake,Mississippi,607.0
Perth Amboy,New Jersey,607.0
Del Valle,Texas,607.0
Opelousas,Louisiana,607.0
Memphis,Tennessee,607.0
Cordele,Georgia,608.0
Norcross,Georgia,608.0
Americus,Georgia,609.0
Hamtramck,Michigan,609.0
North Charleston,South Carolina,609.0
Plainfield,New Jersey,609.0
San Bernardino,California,610.0
Temple Hills,Maryland,610.0
Corcoran,California,610.0
Lawrence,Massachusetts,611.0
Fairburn,Georgia,611.0
Petersburg,Virginia,611.0
Edgewood,Maryland,612.0
Ellenwood,Georgia,612.0
Beeville,Texas,612.0
Maple Heights,Ohio,612.0
Newberry,South Carolina,612.0
Orangeburg,South Carolina,612.0
Madison,Tennessee,614.0
Waterbury,Connecticut,614.0
Stone Mountain,Georgia,614.0
Hephzibah,Georgia,615.0
Morrow,Georgia,615.0
Laurens,South Carolina,615.0
Windsor Mill,Maryland,615.0
Barstow,California,615.0
Opa Locka,Florida,615.0
Springfield,Massachusetts,615.0
San Benito,Texas,616.0
Monroe,Louisiana,617.0
Eastpointe,Michigan,617.0
Dorchester,Massachusetts,617.0
Darlington,South Carolina,617.0
Edinburg,Texas,617.0
Chicago Heights,Illinois,617.0
Pharr,Texas,618.0
Alamo,Texas,619.0
Sun Valley,Nevada,619.0
Channelview,Texas,619.0
Brownsville,Texas,619.0
Fresno,Texas,619.0
Palatka,Florida,620.0
Alexandria,Louisiana,620.0
Shreveport,Louisiana,620.0
Texas City,Texas,621.0
Rossville,Georgia,621.0
Canton,Mississippi,621.0
West Memphis,Arkansas,621.0
Tarboro,North Carolina,621.0
Gaffney,South Carolina,621.0
Baltimore,Maryland,621.0
Mccomb,Mississippi,622.0
Mount Morris,Michigan,622.0
El Mirage,Arizona,622.0
Robstown,Texas,622.0
Walterboro,South Carolina,622.0
Talladega,Alabama,622.0
Marshall,Texas,622.0
San Juan,Texas,622.0
East Saint Louis,Illinois,623.0
Hobbs,New Mexico,623.0
Griffin,Georgia,623.0
Victorville,California,623.0
Park Forest,Illinois,623.0
Haltom City,Texas,623.0
