"Table 1","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","",""
"Percent Change","","","","","","","","","","","",""
"by Population Group","","",""," ","","","","","","","",""
"Population group","Number
of
agencies","Population","Violent
crime","Murder","Rape1","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Total","14509.0","299936656.0","-4.3","-6.7","0.6","-12.5","-2.0","-7.2","-12.7","-6.3","-3.3","-9.4"
"Cities:","","","","","","","","","","","",""
"1,000,000 and over","10.0","26191633.0","-2.8","-6.9","6.5","-9.3","-0.1","-2.1","-4.8","-1.3","-3.2","0.7"
"500,000 to 999,999","23.0","16876165.0","-4.0","-11.8","-0.4","-11.1","-1.0","-4.4","-11.1","-3.1","-1.7","-14.7"
"250,000 to 499,999","47.0","16332920.0","-5.0","-5.7","2.4","-16.4","-1.2","-6.4","-13.0","-5.7","-1.3","-11.1"
"100,000 to 249,999","217.0","32462207.0","-5.0","-13.0","4.5","-12.7","-2.8","-6.8","-12.4","-5.8","-4.7","-12.5"
"50,000 to 99,999","476.0","33209266.0","-2.8","-5.1","0.1","-10.5","-0.2","-8.1","-13.5","-7.3","-5.6","-7.7"
"25,000 to 49,999","840.0","29228393.0","-8.2","1.8","-1.1","-16.0","-6.8","-9.4","-14.5","-8.7","-4.6","-7.0"
"10,000 to 24,999","1710.0","27335836.0","-2.9","-4.9","-0.7","-14.9","-0.2","-7.9","-11.9","-7.4","-2.7","-13.4"
"Under 10,000","7147.0","21641657.0","-5.0","-8.6","-4.8","-16.0","-3.4","-10.7","-14.5","-10.6","-2.3","-12.3"
"Counties:","","","","","","","","","","","",""
"Metropolitan2                               ","1879.0","73868281.0","-4.5","-6.1","-0.4","-13.9","-2.6","-7.6","-14.5","-6.1","-2.7","-8.8"
"Nonmetropolitan3","2160.0","22790298.0","-3.5","7.1","-3.7","-3.4","-3.8","-11.1","-15.8","-9.7","-4.8","-5.9"
"1 The figures shown in the rape column include only those reported by law enforcement agencies that used the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation.  ","","","","","","","","","","","",""
"2 Includes crimes reported to sheriffs' departments, county police departments, and state police within Metropolitan Statistical Areas.","","","","","","","","","","","",""
"3 Includes crimes reported to sheriffs' departments, county police departments, and state police outside Metropolitan Statistical Areas.","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"",""," ",""," ","","","","","","","",""
