"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Colorado through Hawaii","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"COLORADO","AURORA","2017.0","368018.0","1073.0","17.0","149.0","350.0","557.0","5380.0","811.0","3608.0","961.0","31.0"
"","","2018.0","","1275.0","9.0","183.0","293.0","790.0","5504.0","828.0","3572.0","1104.0","30.0"
"","CENTENNIAL","2017.0","111416.0","66.0","3.0","13.0","9.0","41.0","916.0","151.0","680.0","85.0","6.0"
"","","2018.0","","97.0","1.0","21.0","8.0","67.0","944.0","119.0","740.0","85.0","5.0"
"","COLORADO SPRINGS","2017.0","472958.0","1274.0","16.0","264.0","231.0","763.0","7185.0","1149.0","5097.0","939.0","61.0"
"","","2018.0","","1272.0","10.0","233.0","223.0","806.0","7147.0","1077.0","4942.0","1128.0","72.0"
"","DENVER","2017.0","706616.0","2318.0","29.0","341.0","557.0","1391.0","12255.0","2081.0","7786.0","2388.0","66.0"
"","","2018.0","","2494.0","36.0","347.0","570.0","1541.0","12947.0","2060.0","8302.0","2585.0","61.0"
"","FORT COLLINS","2017.0","167633.0","188.0","1.0","23.0","17.0","147.0","2149.0","241.0","1800.0","108.0","6.0"
"","","2018.0","","173.0","1.0","11.0","17.0","144.0","1790.0","181.0","1532.0","77.0","4.0"
"","GREELEY","2017.0","105906.0","192.0","1.0","28.0","23.0","140.0","1260.0","194.0","926.0","140.0","13.0"
"","","2018.0","","210.0","1.0","44.0","30.0","135.0","1308.0","182.0","986.0","140.0","11.0"
"","PUEBLO","2017.0","110872.0","555.0","3.0","108.0","97.0","347.0","3308.0","614.0","2156.0","538.0","24.0"
"","","2018.0","","558.0","3.0","88.0","109.0","358.0","3168.0","639.0","1966.0","563.0","31.0"
"","THORNTON3","2017.0","139825.0","219.0","2.0","71.0","33.0","113.0","","","1405.0","382.0","16.0"
"","","2018.0","","173.0","1.0","59.0","42.0","71.0","2186.0","236.0","1597.0","353.0","13.0"
"","WESTMINSTER","2017.0","115155.0","133.0","1.0","28.0","27.0","77.0","1765.0","203.0","1203.0","359.0","9.0"
"","","2018.0","","169.0","13.0","28.0","38.0","90.0","1729.0","150.0","1271.0","308.0","15.0"
"CONNECTICUT","BRIDGEPORT","2017.0","146110.0","600.0","12.0","27.0","264.0","297.0","1662.0","287.0","1022.0","353.0","8.0"
"","","2018.0","","439.0","5.0","29.0","131.0","274.0","1411.0","239.0","876.0","296.0","9.0"
"","HARTFORD","2017.0","122891.0","611.0","14.0","27.0","190.0","380.0","2296.0","341.0","1638.0","317.0","38.0"
"","","2018.0","","677.0","9.0","24.0","179.0","465.0","2311.0","332.0","1572.0","407.0","38.0"
"","STAMFORD","2017.0","130189.0","136.0","0.0","13.0","42.0","81.0","965.0","106.0","752.0","107.0","3.0"
"","","2018.0","","110.0","2.0","8.0","26.0","74.0","1026.0","110.0","805.0","111.0","3.0"
"","WATERBURY","2017.0","107924.0","249.0","3.0","26.0","124.0","96.0","1883.0","284.0","1203.0","396.0","6.0"
"","","2018.0","","247.0","3.0","30.0","96.0","118.0","2075.0","277.0","1395.0","403.0","5.0"
"FLORIDA","CAPE CORAL","2017.0","184346.0","118.0","3.0","8.0","12.0","95.0","1488.0","290.0","1126.0","72.0","1.0"
"","","2018.0","","123.0","0.0","6.0","28.0","89.0","1369.0","202.0","1084.0","83.0","1.0"
"","CLEARWATER","2017.0","115295.0","293.0","2.0","42.0","71.0","178.0","1848.0","249.0","1476.0","123.0","11.0"
"","","2018.0","","267.0","2.0","53.0","59.0","153.0","1680.0","185.0","1394.0","101.0","4.0"
"","CORAL SPRINGS","2017.0","131558.0","125.0","0.0","27.0","35.0","63.0","1287.0","112.0","1064.0","111.0","2.0"
"","","2018.0","","82.0","0.0","14.0","29.0","39.0","1035.0","104.0","855.0","76.0","1.0"
"","DAVIE","2017.0","103555.0","124.0","1.0","13.0","44.0","66.0","1347.0","145.0","1094.0","108.0","9.0"
"","","2018.0","","137.0","0.0","16.0","35.0","86.0","1374.0","107.0","1134.0","133.0","1.0"
"","FORT LAUDERDALE","2017.0","180972.0","523.0","4.0","37.0","214.0","268.0","5246.0","821.0","3978.0","447.0","8.0"
"","","2018.0","","505.0","11.0","33.0","162.0","299.0","4428.0","625.0","3368.0","435.0","5.0"
"","GAINESVILLE","2017.0","132777.0","472.0","2.0","81.0","94.0","295.0","2225.0","229.0","1854.0","142.0","3.0"
"","","2018.0","","501.0","4.0","74.0","113.0","310.0","2532.0","272.0","2087.0","173.0","5.0"
"","HIALEAH","2017.0","238260.0","232.0","2.0","15.0","77.0","138.0","2673.0","283.0","2042.0","348.0","16.0"
"","","2018.0","","281.0","1.0","18.0","84.0","178.0","2686.0","213.0","2094.0","379.0","1.0"
"","HOLLYWOOD","2017.0","153893.0","216.0","3.0","13.0","90.0","110.0","2391.0","393.0","1754.0","244.0","4.0"
"","","2018.0","","189.0","4.0","12.0","56.0","117.0","2101.0","249.0","1576.0","276.0","2.0"
"","JACKSONVILLE","2017.0","894638.0","2696.0","52.0","257.0","670.0","1717.0","15489.0","2832.0","11251.0","1406.0","52.0"
"","","2018.0","","2766.0","55.0","289.0","674.0","1748.0","15404.0","2458.0","11465.0","1481.0","45.0"
"","LAKELAND","2017.0","107927.0","154.0","1.0","35.0","39.0","79.0","1917.0","268.0","1540.0","109.0","0.0"
"","","2018.0","","159.0","3.0","45.0","32.0","79.0","1834.0","278.0","1465.0","91.0","0.0"
"","MIAMI","2017.0","463009.0","1665.0","26.0","41.0","510.0","1088.0","9265.0","1187.0","7044.0","1034.0","33.0"
"","","2018.0","","1419.0","27.0","56.0","396.0","940.0","8439.0","1091.0","6517.0","831.0","30.0"
"","MIAMI GARDENS","2017.0","114008.0","448.0","11.0","8.0","108.0","321.0","1727.0","214.0","1314.0","199.0","6.0"
"","","2018.0","","437.0","12.0","8.0","116.0","301.0","2149.0","251.0","1694.0","204.0","8.0"
"","MIRAMAR","2017.0","141328.0","225.0","2.0","14.0","51.0","158.0","1103.0","167.0","817.0","119.0","2.0"
"","","2018.0","","163.0","3.0","15.0","47.0","98.0","1043.0","106.0","792.0","145.0","2.0"
"","ORLANDO","2017.0","283982.0","1000.0","13.0","85.0","279.0","623.0","7906.0","1272.0","5904.0","730.0","13.0"
"","","2018.0","","1059.0","22.0","83.0","313.0","641.0","6688.0","776.0","5351.0","561.0","4.0"
"","PALM BAY","2017.0","111275.0","279.0","5.0","23.0","29.0","222.0","1024.0","221.0","723.0","80.0","5.0"
"","","2018.0","","216.0","2.0","35.0","19.0","160.0","1129.0","226.0","835.0","68.0","3.0"
"","PEMBROKE PINES","2017.0","170923.0","179.0","0.0","15.0","46.0","118.0","1891.0","189.0","1529.0","173.0","4.0"
"","","2018.0","","157.0","1.0","14.0","31.0","111.0","1616.0","123.0","1372.0","121.0","2.0"
"","POMPANO BEACH","2017.0","111027.0","497.0","8.0","32.0","220.0","237.0","2712.0","388.0","1888.0","436.0","5.0"
"","","2018.0","","430.0","1.0","47.0","139.0","243.0","2187.0","303.0","1588.0","296.0","2.0"
"","PORT ST. LUCIE","2017.0","188652.0","86.0","0.0","8.0","14.0","64.0","1089.0","178.0","867.0","44.0","1.0"
"","","2018.0","","100.0","2.0","16.0","16.0","66.0","900.0","146.0","717.0","37.0","4.0"
"","ST. PETERSBURG","2017.0","263712.0","955.0","12.0","62.0","243.0","638.0","6277.0","940.0","4814.0","523.0","59.0"
"","","2018.0","","760.0","12.0","65.0","187.0","496.0","4332.0","612.0","3337.0","383.0","22.0"
"","TALLAHASSEE","2017.0","192455.0","891.0","6.0","103.0","203.0","579.0","4637.0","762.0","3507.0","368.0","5.0"
"","","2018.0","","674.0","5.0","112.0","133.0","424.0","4285.0","655.0","3268.0","362.0","4.0"
"","TAMPA","2017.0","384360.0","904.0","20.0","53.0","198.0","633.0","3123.0","590.0","2267.0","266.0","24.0"
"","","2018.0","","786.0","10.0","39.0","153.0","584.0","3135.0","534.0","2372.0","229.0","16.0"
"","WEST PALM BEACH","2017.0","109459.0","515.0","15.0","38.0","163.0","299.0","2895.0","451.0","2160.0","284.0","12.0"
"","","2018.0","","538.0","16.0","46.0","183.0","293.0","2146.0","333.0","1614.0","199.0","9.0"
"GEORGIA","ATLANTA","2017.0","481343.0","2165.0","37.0","130.0","669.0","1329.0","10383.0","1602.0","7291.0","1490.0","42.0"
"","","2018.0","","1947.0","42.0","128.0","557.0","1220.0","10892.0","1475.0","7837.0","1580.0","47.0"
"","COLUMBUS","2017.0","198832.0","613.0","9.0","42.0","208.0","354.0","4172.0","1006.0","2834.0","332.0","19.0"
"","","2018.0","","551.0","15.0","35.0","133.0","368.0","4142.0","746.0","3060.0","336.0","2.0"
"","SANDY SPRINGS","2017.0","107740.0","56.0","0.0","8.0","26.0","22.0","1097.0","194.0","827.0","76.0","2.0"
"","","2018.0","","63.0","2.0","7.0","23.0","31.0","1000.0","165.0","756.0","79.0","1.0"
"","SAVANNAH-CHATHAM METROPOLITAN","2017.0","242941.0","570.0","23.0","52.0","182.0","313.0","4197.0","626.0","3121.0","450.0","10.0"
"","","2018.0","","453.0","10.0","81.0","129.0","233.0","2887.0","449.0","2091.0","347.0","5.0"
"HAWAII","HONOLULU4","2017.0","990384.0","1206.0","15.0","157.0","443.0","591.0","13256.0","1568.0","10037.0","1651.0","170.0"
"","","2018.0","","1200.0","8.0","164.0","413.0","615.0","14397.0","1654.0","10435.0","2308.0","146.0"
"1 The 2017 population figures are FBI estimates based on provisional data from the U.S. Census Bureau. See the data declaration for further explanation. ","","","","","","","","","","","","",""
"2 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ","","","","","","","","","","","","",""
"3 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this report.","","","","","","","","","","","","",""
"4 Because of changes in the local agency's reporting practices, figures are not comparable to previous years' data.","","","","","","","","","","","","",""
