"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Illinois through Missouri","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson3"
"ILLINOIS","AURORA","2017.0","201599.0","251.0","4.0","28.0","46.0","173.0","1246.0","191.0","963.0","92.0","11.0"
"","","2018.0","","257.0","2.0","27.0","46.0","182.0","1071.0","129.0","872.0","70.0","4.0"
"","CHICAGO","2017.0","2706171.0","14070.0","331.0","870.0","5382.0","7487.0","41577.0","6317.0","29658.0","5602.0","265.0"
"","","2018.0","","12987.0","253.0","828.0","4631.0","7275.0","40135.0","5414.0","29900.0","4821.0","191.0"
"","ELGIN","2017.0","112767.0","116.0","0.0","18.0","24.0","74.0","754.0","97.0","625.0","32.0","2.0"
"","","2018.0","","91.0","2.0","17.0","29.0","43.0","667.0","78.0","548.0","41.0","2.0"
"","JOLIET","2017.0","148342.0","283.0","5.0","36.0","74.0","168.0","1240.0","230.0","946.0","64.0","43.0"
"","","2018.0","","233.0","3.0","20.0","65.0","145.0","1004.0","229.0","711.0","64.0","27.0"
"","NAPERVILLE","2017.0","147934.0","87.0","1.0","15.0","20.0","51.0","870.0","64.0","785.0","21.0","5.0"
"","","2018.0","","50.0","0.0","14.0","9.0","27.0","664.0","82.0","567.0","15.0","0.0"
"","PEORIA","2017.0","114157.0","430.0","7.0","31.0","140.0","252.0","2171.0","518.0","1536.0","117.0","18.0"
"","","2018.0","","418.0","10.0","33.0","79.0","296.0","2187.0","462.0","1515.0","210.0","28.0"
"","ROCKFORD","2017.0","146770.0","1147.0","9.0","60.0","210.0","868.0","2438.0","647.0","1593.0","198.0","20.0"
"","","2018.0","","976.0","9.0","59.0","151.0","757.0","2575.0","605.0","1761.0","209.0","29.0"
"","SPRINGFIELD","2017.0","115568.0","614.0","5.0","44.0","118.0","447.0","2438.0","558.0","1731.0","149.0","25.0"
"","","2018.0","","487.0","7.0","34.0","86.0","360.0","2494.0","584.0","1823.0","87.0","9.0"
"INDIANA","EVANSVILLE","2017.0","119371.0","453.0","6.0","30.0","87.0","330.0","2905.0","423.0","2276.0","206.0","16.0"
"","","2018.0","","323.0","7.0","41.0","78.0","197.0","2591.0","377.0","1969.0","245.0","14.0"
"","FORT WAYNE","2017.0","266259.0","463.0","13.0","57.0","151.0","242.0","4191.0","611.0","3343.0","237.0","40.0"
"","","2018.0","","508.0","22.0","71.0","149.0","266.0","3342.0","488.0","2585.0","269.0","17.0"
"","INDIANAPOLIS","2017.0","870788.0","5903.0","58.0","315.0","1741.0","3789.0","18331.0","4254.0","11630.0","2447.0","100.0"
"","","2018.0","","5402.0","73.0","341.0","1436.0","3552.0","17350.0","3512.0","11395.0","2443.0","100.0"
"","SOUTH BEND","2017.0","101857.0","468.0","9.0","47.0","163.0","249.0","2492.0","629.0","1630.0","233.0","24.0"
"","","2018.0","","465.0","5.0","34.0","139.0","287.0","1844.0","422.0","1265.0","157.0","17.0"
"IOWA","CEDAR RAPIDS","2017.0","131878.0","185.0","0.0","19.0","46.0","120.0","2259.0","424.0","1693.0","142.0","8.0"
"","","2018.0","","149.0","3.0","13.0","44.0","89.0","2183.0","390.0","1644.0","149.0","8.0"
"","DAVENPORT","2017.0","103063.0","385.0","7.0","51.0","97.0","230.0","2506.0","479.0","1753.0","274.0","13.0"
"","","2018.0","","314.0","6.0","44.0","68.0","196.0","2327.0","494.0","1578.0","255.0","7.0"
"KANSAS","OLATHE","2017.0","137070.0","129.0","1.0","44.0","18.0","66.0","931.0","74.0","792.0","65.0","2.0"
"","","2018.0","","153.0","2.0","45.0","12.0","94.0","996.0","65.0","852.0","79.0","6.0"
"","OVERLAND PARK","2017.0","191566.0","199.0","3.0","50.0","32.0","114.0","1475.0","160.0","1185.0","130.0","2.0"
"","","2018.0","","205.0","2.0","65.0","37.0","101.0","1778.0","168.0","1440.0","170.0","10.0"
"","TOPEKA","2017.0","126624.0","371.0","15.0","25.0","112.0","219.0","3124.0","467.0","2280.0","377.0","5.0"
"","","2018.0","","328.0","8.0","29.0","93.0","198.0","3119.0","431.0","2359.0","329.0","3.0"
"","WICHITA","2017.0","391084.0","1909.0","18.0","210.0","310.0","1371.0","10810.0","1616.0","8010.0","1184.0","41.0"
"","","2018.0","","2251.0","24.0","179.0","245.0","1803.0","9424.0","1552.0","6541.0","1331.0","69.0"
"KENTUCKY","LEXINGTON","2017.0","322332.0","553.0","9.0","100.0","281.0","163.0","5950.0","1119.0","4202.0","629.0","22.0"
"","","2018.0","","491.0","17.0","107.0","228.0","139.0","5148.0","743.0","3888.0","517.0","23.0"
"LOUISIANA","BATON ROUGE","2017.0","227403.0","1205.0","33.0","47.0","448.0","677.0","6120.0","1308.0","4317.0","495.0","79.0"
"","","2018.0","","1025.0","44.0","46.0","335.0","600.0","5982.0","1438.0","4031.0","513.0","85.0"
"","LAFAYETTE","2017.0","128691.0","359.0","11.0","8.0","94.0","246.0","3116.0","523.0","2431.0","162.0","14.0"
"","","2018.0","","359.0","3.0","14.0","87.0","255.0","2941.0","512.0","2251.0","178.0","10.0"
"","NEW ORLEANS4","2017.0","397447.0","2228.0","94.0","263.0","682.0","1189.0","8539.0","1178.0","6094.0","1267.0",""
"","","2018.0","","2244.0","90.0","338.0","612.0","1204.0","8287.0","956.0","5928.0","1403.0",""
"","SHREVEPORT","2017.0","193937.0","941.0","27.0","74.0","251.0","589.0","5328.0","1160.0","3737.0","431.0","34.0"
"","","2018.0","","805.0","17.0","68.0","168.0","552.0","4909.0","924.0","3556.0","429.0","44.0"
"MARYLAND","BALTIMORE","2017.0","613217.0","6095.0","170.0","176.0","2780.0","2969.0","14462.0","3808.0","8033.0","2621.0","149.0"
"","","2018.0","","5146.0","135.0","188.0","2318.0","2505.0","12339.0","2828.0","7492.0","2019.0","98.0"
"MASSACHUSETTS","BOSTON","2017.0","682903.0","2170.0","22.0","144.0","668.0","1336.0","6649.0","1013.0","5080.0","556.0",""
"","","2018.0","","2129.0","26.0","133.0","601.0","1369.0","6504.0","942.0","5031.0","531.0",""
"","CAMBRIDGE","2017.0","111707.0","144.0","0.0","7.0","37.0","100.0","907.0","137.0","727.0","43.0","1.0"
"","","2018.0","","152.0","0.0","13.0","45.0","94.0","910.0","126.0","751.0","33.0","6.0"
"","LOWELL","2017.0","111294.0","136.0","1.0","3.0","64.0","68.0","1146.0","224.0","693.0","229.0","5.0"
"","","2018.0","","156.0","3.0","8.0","48.0","97.0","806.0","191.0","532.0","83.0","8.0"
"","SPRINGFIELD","2017.0","154562.0","629.0","8.0","45.0","168.0","408.0","2208.0","585.0","1415.0","208.0","25.0"
"","","2018.0","","757.0","10.0","54.0","239.0","454.0","1879.0","444.0","1222.0","213.0","12.0"
"","WORCESTER","2017.0","185107.0","682.0","3.0","24.0","143.0","512.0","1884.0","402.0","1281.0","201.0","2.0"
