"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Montana through Ohio","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson3"
"MONTANA","BILLINGS","2017.0","111317.0","276.0","1.0","45.0","22.0","208.0","2851.0","341.0","2112.0","398.0","9.0"
"","","2018.0","","269.0","1.0","29.0","53.0","186.0","2671.0","333.0","1952.0","386.0","9.0"
"NEBRASKA","LINCOLN","2017.0","284063.0","486.0","0.0","111.0","91.0","284.0","3724.0","537.0","3049.0","138.0",""
"","","2018.0","","510.0","2.0","142.0","67.0","299.0","3884.0","589.0","3118.0","177.0","19.0"
"","OMAHA","2017.0","449388.0","1403.0","15.0","196.0","260.0","932.0","8348.0","1015.0","5796.0","1537.0",""
"","","2018.0","","1258.0","13.0","215.0","187.0","843.0","7312.0","824.0","5125.0","1363.0",""
"NEVADA","HENDERSON","2017.0","299285.0","283.0","4.0","50.0","111.0","118.0","2639.0","550.0","1773.0","316.0","12.0"
"","","2018.0","","267.0","4.0","34.0","93.0","136.0","3063.0","543.0","2155.0","365.0","9.0"
"","LAS VEGAS METROPOLITAN POLICE DEPARTMENT","2017.0","1627244.0","4906.0","70.0","629.0","1660.0","2547.0","22888.0","6269.0","12692.0","3927.0","51.0"
"","","2018.0","","5129.0","68.0","766.0","1367.0","2928.0","23599.0","6152.0","13414.0","4033.0","51.0"
"","NORTH LAS VEGAS","2017.0","242537.0","1189.0","11.0","56.0","253.0","869.0","3007.0","1150.0","1235.0","622.0","3.0"
"","","2018.0","","1148.0","13.0","74.0","202.0","859.0","2774.0","693.0","1467.0","614.0","7.0"
"","RENO","2017.0","248531.0","800.0","11.0","61.0","176.0","552.0","3528.0","666.0","2154.0","708.0","7.0"
"","","2018.0","","759.0","2.0","89.0","140.0","528.0","3088.0","484.0","2082.0","522.0","6.0"
"NEW HAMPSHIRE","MANCHESTER","2017.0","110655.0","348.0","1.0","44.0","83.0","220.0","1431.0","218.0","1116.0","97.0","12.0"
"","","2018.0","","317.0","0.0","35.0","65.0","217.0","1303.0","154.0","1072.0","77.0","9.0"
"NEW JERSEY","EDISON TOWNSHIP","2017.0","102699.0","59.0","0.0","3.0","28.0","28.0","608.0","97.0","454.0","57.0","4.0"
"","","2018.0","","52.0","1.0","2.0","18.0","31.0","564.0","85.0","439.0","40.0","2.0"
"","ELIZABETH","2017.0","129726.0","480.0","2.0","19.0","235.0","224.0","2030.0","308.0","1330.0","392.0","5.0"
"","","2018.0","","395.0","3.0","23.0","156.0","213.0","1927.0","297.0","1227.0","403.0","5.0"
"","LAKEWOOD TOWNSHIP","2017.0","102759.0","51.0","1.0","2.0","20.0","28.0","426.0","114.0","293.0","19.0","2.0"
"","","2018.0","","48.0","0.0","1.0","5.0","42.0","369.0","72.0","270.0","27.0","5.0"
"","NEWARK","2017.0","283673.0","1205.0","31.0","51.0","495.0","628.0","3020.0","570.0","1414.0","1036.0","29.0"
"","","2018.0","","999.0","36.0","74.0","331.0","558.0","2877.0","431.0","1297.0","1149.0","25.0"
"","PATERSON","2017.0","147690.0","484.0","14.0","18.0","228.0","224.0","1750.0","550.0","828.0","372.0","8.0"
"","","2018.0","","494.0","4.0","24.0","229.0","237.0","1825.0","384.0","1198.0","243.0","4.0"
"","WOODBRIDGE TOWNSHIP","2017.0","102129.0","48.0","1.0","4.0","27.0","16.0","727.0","111.0","567.0","49.0","1.0"
"","","2018.0","","64.0","0.0","4.0","15.0","45.0","647.0","65.0","543.0","39.0","4.0"
"NEW MEXICO","LAS CRUCES4","2017.0","102350.0","118.0","6.0","25.0","36.0","51.0","2279.0","439.0","1703.0","137.0",""
"","","2018.0","","194.0","3.0","18.0","19.0","154.0","1810.0","267.0","1418.0","125.0","3.0"
"NEW YORK","AMHERST TOWN","2017.0","121150.0","63.0","0.0","5.0","23.0","35.0","915.0","70.0","826.0","19.0","2.0"
"","","2018.0","","79.0","0.0","12.0","25.0","42.0","780.0","88.0","679.0","13.0","1.0"
"","BUFFALO","2017.0","256169.0","1207.0","25.0","72.0","411.0","699.0","4434.0","987.0","3101.0","346.0","90.0"
"","","2018.0","","1289.0","24.0","92.0","416.0","757.0","4504.0","1052.0","2986.0","466.0","77.0"
"","NEW YORK","2017.0","8616333.0","22374.0","136.0","1122.0","6607.0","14509.0","57556.0","5296.0","49711.0","2549.0",""
"","","2018.0","","22429.0","148.0","1452.0","6223.0","14606.0","59977.0","5086.0","52427.0","2464.0",""
"","ROCHESTER","2017.0","208591.0","902.0","11.0","65.0","350.0","476.0","3742.0","617.0","2812.0","313.0","55.0"
"","","2018.0","","742.0","12.0","66.0","239.0","425.0","3153.0","511.0","2374.0","268.0","30.0"
"","SYRACUSE","2017.0","143069.0","499.0","9.0","52.0","141.0","297.0","2129.0","498.0","1464.0","167.0","28.0"
"","","2018.0","","405.0","9.0","43.0","107.0","246.0","1874.0","331.0","1350.0","193.0","18.0"
"","YONKERS","2017.0","201554.0","406.0","4.0","17.0","118.0","267.0","942.0","168.0","690.0","84.0","8.0"
"","","2018.0","","370.0","0.0","16.0","108.0","246.0","839.0","136.0","630.0","73.0","2.0"
"NORTH CAROLINA5","CARY","2017.0","166986.0","","0.0","","23.0","31.0","828.0","131.0","672.0","25.0","7.0"
"","","2018.0","","","0.0","","22.0","42.0","779.0","137.0","624.0","18.0","3.0"
"","CHARLOTTE-MECKLENBURG","2017.0","914609.0","","46.0","","979.0","1982.0","16414.0","3275.0","11880.0","1259.0","102.0"
"","","2018.0","","","29.0","","838.0","1910.0","16618.0","2848.0","12345.0","1425.0","74.0"
"","DURHAM","2017.0","269088.0","","12.0","","428.0","632.0","4923.0","1159.0","3397.0","367.0","20.0"
