"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"Oklahoma through Wisconsin","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"OKLAHOMA","BROKEN ARROW","2017.0","108823.0","67.0","0.0","12.0","18.0","37.0","1225.0","201.0","892.0","132.0","0.0"
"","","2018.0","","69.0","1.0","30.0","6.0","32.0","1140.0","157.0","889.0","94.0","3.0"
"","NORMAN","2017.0","124074.0","178.0","4.0","46.0","23.0","105.0","1702.0","299.0","1274.0","129.0","1.0"
"","","2018.0","","148.0","2.0","33.0","23.0","90.0","1609.0","255.0","1200.0","154.0","4.0"
"","OKLAHOMA CITY","2017.0","648260.0","2438.0","33.0","242.0","512.0","1651.0","11953.0","2993.0","7631.0","1329.0","45.0"
"","","2018.0","","2708.0","34.0","264.0","491.0","1919.0","12384.0","3050.0","7689.0","1645.0","28.0"
"","TULSA","2017.0","404868.0","2065.0","37.0","193.0","476.0","1359.0","11061.0","2674.0","6596.0","1791.0","72.0"
"","","2018.0","","1993.0","21.0","192.0","366.0","1414.0","10792.0","2359.0","6812.0","1621.0","97.0"
"OREGON","EUGENE","2017.0","168310.0","320.0","2.0","50.0","84.0","184.0","3079.0","595.0","2239.0","245.0","23.0"
"","","2018.0","","317.0","1.0","61.0","93.0","162.0","2741.0","405.0","2074.0","262.0","21.0"
"","GRESHAM","2017.0","112466.0","204.0","4.0","37.0","46.0","117.0","1928.0","225.0","1132.0","571.0","9.0"
"","","2018.0","","216.0","0.0","33.0","53.0","130.0","1902.0","235.0","1017.0","650.0","4.0"
"","HILLSBORO","2017.0","107433.0","135.0","0.0","48.0","26.0","61.0","1070.0","126.0","807.0","137.0","13.0"
"","","2018.0","","167.0","0.0","38.0","34.0","95.0","1028.0","95.0","824.0","109.0","4.0"
"","PORTLAND","2017.0","649408.0","1610.0","9.0","215.0","506.0","880.0","18468.0","2264.0","12582.0","3622.0","137.0"
"","","2018.0","","1684.0","10.0","236.0","525.0","913.0","17982.0","2172.0","12409.0","3401.0","132.0"
"","SALEM","2017.0","169565.0","274.0","3.0","14.0","66.0","191.0","3709.0","430.0","2810.0","469.0","16.0"
"","","2018.0","","379.0","0.0","32.0","94.0","253.0","3721.0","403.0","2788.0","530.0","22.0"
"PENNSYLVANIA","ALLENTOWN","2017.0","120823.0","295.0","5.0","38.0","132.0","120.0","1509.0","286.0","1094.0","129.0","7.0"
"","","2018.0","","187.0","4.0","25.0","81.0","77.0","1336.0","203.0","998.0","135.0","4.0"
"","PHILADELPHIA","2017.0","1575595.0","7357.0","156.0","585.0","2878.0","3738.0","22766.0","3130.0","17141.0","2495.0","211.0"
"","","2018.0","","6956.0","148.0","536.0","2481.0","3791.0","23172.0","3036.0","17491.0","2645.0","212.0"
"RHODE ISLAND","PROVIDENCE","2017.0","179854.0","442.0","4.0","57.0","128.0","253.0","2686.0","448.0","1960.0","278.0","9.0"
"","","2018.0","","425.0","5.0","57.0","119.0","244.0","2807.0","391.0","2096.0","320.0","8.0"
"SOUTH CAROLINA","CHARLESTON","2017.0","136845.0","184.0","1.0","31.0","46.0","106.0","1471.0","211.0","1151.0","109.0","10.0"
"","","2018.0","","174.0","4.0","18.0","33.0","119.0","1403.0","136.0","1106.0","161.0","3.0"
"SOUTH DAKOTA","SIOUX FALLS","2017.0","177888.0","385.0","3.0","62.0","42.0","278.0","2353.0","335.0","1789.0","229.0","24.0"
"","","2018.0","","349.0","2.0","49.0","49.0","249.0","2357.0","287.0","1813.0","257.0","16.0"
"TENNESSEE","CHATTANOOGA","2017.0","178753.0","930.0","17.0","59.0","161.0","693.0","4964.0","711.0","3658.0","595.0","6.0"
"","","2018.0","","911.0","9.0","74.0","168.0","660.0","5210.0","703.0","3809.0","698.0","3.0"
"","CLARKSVILLE","2017.0","153294.0","501.0","4.0","47.0","57.0","393.0","2089.0","365.0","1626.0","98.0","6.0"
"","","2018.0","","498.0","12.0","46.0","66.0","374.0","2201.0","298.0","1745.0","158.0","12.0"
"","KNOXVILLE","2017.0","187539.0","845.0","18.0","71.0","198.0","558.0","5051.0","802.0","3749.0","500.0","7.0"
"","","2018.0","","791.0","16.0","68.0","153.0","554.0","4444.0","655.0","3256.0","533.0","5.0"
"","MEMPHIS","2017.0","652765.0","6465.0","91.0","300.0","1562.0","4512.0","19018.0","4553.0","12609.0","1856.0","188.0"
"","","2018.0","","6006.0","71.0","230.0","1401.0","4304.0","20060.0","4101.0","13709.0","2250.0","135.0"
"","MURFREESBORO","2017.0","136102.0","395.0","3.0","38.0","66.0","288.0","2105.0","240.0","1753.0","112.0","2.0"
"","","2018.0","","322.0","4.0","44.0","56.0","218.0","2067.0","296.0","1640.0","131.0","4.0"
